2019-08-21 21:46:25,019 [   7530]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.versions.KotlinJsMetadataVersionIndex will be built. 
2019-08-21 21:46:25,027 [   7538]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinClassFileIndex will be built. 
2019-08-21 21:46:25,033 [   7544]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinJavaScriptMetaFileIndex will be built. 
2019-08-21 21:46:25,044 [   7555]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinMetadataFileIndex will be built. 
2019-08-21 21:46:25,050 [   7561]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinMetadataFilePackageIndex will be built. 
2019-08-21 21:46:25,055 [   7566]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinModuleMappingIndex will be built. 
2019-08-21 21:46:25,067 [   7578]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinPackageSourcesMemberNamesIndex will be built. 
2019-08-21 21:46:25,084 [   7595]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinJvmModuleAnnotationsIndex will be built. 
2019-08-21 21:46:25,095 [   7606]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.ide.konan.index.KotlinNativeMetaFileIndex will be built. 
2019-08-21 21:46:25,101 [   7612]   INFO - il.indexing.FileBasedIndexImpl - Index JavaFxControllerClassIndex will be built. 
2019-08-21 21:46:25,107 [   7618]   INFO - il.indexing.FileBasedIndexImpl - Index javafx.id.name will be built. 
2019-08-21 21:46:25,112 [   7623]   INFO - il.indexing.FileBasedIndexImpl - Index javafx.custom.component will be built. 
2019-08-21 21:46:25,121 [   7632]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-08-21 21:46:25,140 [   7651]   INFO - pl$FileIndexDataInitialization - Initialization done:1400 
2019-08-21 21:46:25,143 [   7654]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-08-21 21:46:25,148 [   7659]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-08-21 21:46:25,153 [   7664]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.module.name will be built. 
2019-08-21 21:46:25,158 [   7669]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.method.parameter.types will be built. 
2019-08-21 21:46:25,163 [   7674]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.class.extlist will be built. 
2019-08-21 21:46:25,167 [   7678]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.class.shortname will be built. 
